"filename", "language", "JSON", "JSON with Comments", "Log", "JavaScript", "TypeScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\README.md", "Markdown", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 2, 29, 99
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\eslint.config.mjs", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\nest-cli.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\package-lock.json", "JSON", 12199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12200
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\package.json", "JSON", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma.config.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 2, 16
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\migrations\20260314133055_config_schema\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 13, 20, 106
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\migrations\20260324184403_teste\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 3, 17
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\migrations\20260512235503_init_minigame\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 57, 45, 197
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\migrations\20260513111816\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 11, 49
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\migrations\20260513154648_init_minigame_engine\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 87, 40, 232
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\migrations\20260514023844_remove_player_email\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 2, 12
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\migrations\20260514142808\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 8, 34
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\migrations\20260514143724\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\migrations\20260515113446_add_round_result_metrics\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 23, 238
